epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,4990.42,0.46461,1.10007,0.16971,0.30317,0.94081,0.99904,1,0.995,0.93331,0.99904,1,0.995,0.84288,0.43341,0.75629,0.03484,0.22716,0.85353,0.00169508,0.00169508,0.00169508
79,5026.81,0.45715,1.09021,0.16629,0.29896,0.93839,0.99886,1,0.995,0.92015,0.99886,1,0.995,0.82555,0.43845,0.73297,0.03542,0.22218,0.84511,0.00169112,0.00169112,0.00169112
80,5063.83,0.45291,1.16425,0.16774,0.31142,0.93289,0.99905,1,0.995,0.92096,0.99905,1,0.995,0.85396,0.43384,0.75212,0.03656,0.23805,0.84159,0.00168716,0.00168716,0.00168716
81,5100.15,0.45353,1.1465,0.16392,0.29992,0.9241,0.99904,1,0.995,0.93406,0.99904,1,0.995,0.85772,0.41548,0.72889,0.03364,0.21337,0.82672,0.0016832,0.0016832,0.0016832
82,5136.42,0.45866,1.14379,0.16944,0.30885,0.9403,0.99907,1,0.995,0.92409,0.99907,1,0.995,0.8189,0.4276,0.74159,0.0361,0.24212,0.83118,0.00167924,0.00167924,0.00167924
83,5172.75,0.45216,1.08693,0.16676,0.29887,0.92909,0.98092,0.9661,0.98666,0.87474,0.98092,0.9661,0.98666,0.7608,0.51295,1.1615,0.05998,0.31884,0.8918,0.00167528,0.00167528,0.00167528
84,5209.37,0.42876,1.06115,0.16207,0.28981,0.92173,0.99903,1,0.995,0.93108,0.99903,1,0.995,0.83909,0.43384,0.71414,0.03859,0.22528,0.84558,0.00167132,0.00167132,0.00167132
85,5245.75,0.41995,1.01927,0.16394,0.28189,0.92032,0.99899,1,0.995,0.93662,0.99899,1,0.995,0.85668,0.45584,0.70436,0.03129,0.21893,0.85179,0.00166736,0.00166736,0.00166736
86,5282.6,0.43418,1.09372,0.16288,0.28874,0.9272,0.99905,1,0.995,0.92725,0.99905,1,0.995,0.83721,0.45495,0.77527,0.03473,0.22489,0.84844,0.0016634,0.0016634,0.0016634
87,5319.56,0.4382,1.05917,0.16666,0.2876,0.92282,0.99896,1,0.995,0.92656,0.99896,1,0.995,0.84508,0.45056,0.7936,0.03281,0.2372,0.85061,0.00165944,0.00165944,0.00165944
